sample_id,Early lactation,Intermediate lactation,Late lactation
IT708,1,0,0
IT709,1,0,0
IT710,1,0,0
IT711,1,0,0
IT712,1,0,0
IT713,1,0,0
IT714,1,0,0
IT715,1,0,0
IT716,1,0,0
IT717,1,0,0
IT718,1,0,0
IT719,1,0,0
IT720,1,0,0
IT721,1,0,0
IT722,1,0,0
IT723,1,0,0
IT724,1,0,0
IT725,0,1,0
IT726,0,1,0
IT727,0,1,0
IT728,0,1,0
IT729,0,1,0
IT730,1,0,0
IT731,1,0,0
IT732,1,0,0
IT733,1,0,0
IT734,1,0,0
IT735,1,0,0
IT736,1,0,0
IT737,1,0,0
IT738,1,0,0
IT739,1,0,0
IT740,1,0,0
IT741,1,0,0
IT742,1,0,0
IT743,1,0,0
IT744,1,0,0
IT745,1,0,0
IT746,1,0,0
IT747,1,0,0
IT748,1,0,0
IT749,1,0,0
IT750,1,0,0
IT751,1,0,0
IT752,1,0,0
IT753,1,0,0
IT754,1,0,0
IT755,1,0,0
IT756,1,0,0
IT757,0,1,0
IT758,0,1,0
IT759,1,0,0
IT760,1,0,0
IT761,1,0,0
IT762,1,0,0
IT763,1,0,0
IT764,1,0,0
IT765,1,0,0
IT766,1,0,0
IT767,1,0,0
IT768,1,0,0
IT769,1,0,0
IT770,1,0,0
IT771,1,0,0
IT772,1,0,0
IT773,1,0,0
IT774,1,0,0
IT775,1,0,0
IT776,1,0,0
IT777,1,0,0
IT778,1,0,0
IT779,1,0,0
IT780,1,0,0
IT781,1,0,0
IT782,1,0,0
IT783,1,0,0
IT784,1,0,0
IT785,1,0,0
IT786,1,0,0
IT787,1,0,0
IT788,1,0,0
IT789,1,0,0
IT790,1,0,0
IT791,0,1,0
IT792,0,1,0
IT793,0,1,0
IT794,0,1,0
IT795,1,0,0
IT796,1,0,0
IT797,1,0,0
IT798,1,0,0
IT799,1,0,0
UK0,1,0,0
UK1,1,0,0
UK10,1,0,0
UK100,1,0,0
UK1000,1,0,0
UK1001,1,0,0
UK1002,1,0,0
UK1003,1,0,0
UK1004,1,0,0
UK1005,1,0,0
UK1006,0,1,0
UK101,1,0,0
UK102,0,1,0
UK103,1,0,0
UK104,1,0,0
UK105,1,0,0
UK106,1,0,0
UK107,1,0,0
UK108,1,0,0
UK109,1,0,0
UK11,1,0,0
UK110,1,0,0
UK111,1,0,0
UK112,1,0,0
UK113,1,0,0
UK114,1,0,0
UK115,1,0,0
UK116,0,1,0
UK117,1,0,0
UK118,1,0,0
UK119,1,0,0
UK12,1,0,0
UK120,1,0,0
UK121,1,0,0
UK122,0,1,0
UK123,0,1,0
UK124,1,0,0
UK125,0,0,1
UK126,1,0,0
UK127,1,0,0
UK128,1,0,0
UK129,1,0,0
UK13,1,0,0
UK130,1,0,0
UK131,1,0,0
UK132,1,0,0
UK133,0,1,0
UK134,1,0,0
UK135,1,0,0
UK136,1,0,0
UK137,1,0,0
UK138,1,0,0
UK139,1,0,0
UK14,1,0,0
UK140,1,0,0
UK141,1,0,0
UK142,1,0,0
UK143,1,0,0
UK144,0,1,0
UK145,1,0,0
UK146,1,0,0
UK147,1,0,0
UK148,1,0,0
UK149,1,0,0
UK15,1,0,0
UK150,1,0,0
UK151,0,1,0
UK152,1,0,0
UK153,1,0,0
UK154,1,0,0
UK155,0,1,0
UK156,1,0,0
UK157,1,0,0
UK158,1,0,0
UK159,1,0,0
UK16,1,0,0
UK160,1,0,0
UK161,1,0,0
UK162,1,0,0
UK163,1,0,0
UK164,1,0,0
UK165,1,0,0
UK166,1,0,0
UK167,1,0,0
UK168,1,0,0
UK169,1,0,0
UK17,0,1,0
UK170,1,0,0
UK171,1,0,0
UK172,1,0,0
UK173,1,0,0
UK174,1,0,0
UK175,1,0,0
UK176,1,0,0
UK177,1,0,0
UK178,0,1,0
UK179,1,0,0
UK18,1,0,0
UK180,1,0,0
UK181,1,0,0
UK182,1,0,0
UK183,0,1,0
UK184,0,1,0
UK185,1,0,0
UK186,1,0,0
UK187,1,0,0
UK188,1,0,0
UK189,0,1,0
UK19,1,0,0
UK190,1,0,0
UK191,1,0,0
UK192,1,0,0
UK193,1,0,0
UK194,1,0,0
UK195,1,0,0
UK196,1,0,0
UK197,0,1,0
UK198,1,0,0
UK199,1,0,0
UK2,1,0,0
UK20,1,0,0
UK200,1,0,0
UK201,1,0,0
UK202,1,0,0
UK203,1,0,0
UK204,1,0,0
UK205,1,0,0
UK206,1,0,0
UK207,0,1,0
UK208,0,1,0
UK209,1,0,0
UK21,1,0,0
UK210,1,0,0
UK211,1,0,0
UK213,1,0,0
UK214,1,0,0
UK215,1,0,0
UK216,1,0,0
UK217,1,0,0
UK218,1,0,0
UK219,1,0,0
UK22,1,0,0
UK220,1,0,0
UK221,1,0,0
UK222,0,1,0
UK223,1,0,0
UK224,0,1,0
UK225,1,0,0
UK226,1,0,0
UK227,1,0,0
UK228,1,0,0
UK229,1,0,0
UK23,1,0,0
UK230,1,0,0
UK231,0,1,0
UK232,1,0,0
UK233,1,0,0
UK234,1,0,0
UK235,1,0,0
UK236,1,0,0
UK237,1,0,0
UK238,1,0,0
UK239,1,0,0
UK24,1,0,0
UK240,1,0,0
UK241,1,0,0
UK242,0,1,0
UK243,1,0,0
UK244,1,0,0
UK245,1,0,0
UK246,1,0,0
UK247,1,0,0
UK248,1,0,0
UK249,1,0,0
UK25,1,0,0
UK250,1,0,0
UK251,1,0,0
UK252,1,0,0
UK253,1,0,0
UK254,1,0,0
UK255,1,0,0
UK256,1,0,0
UK257,1,0,0
UK258,1,0,0
UK259,1,0,0
UK26,1,0,0
UK260,1,0,0
UK261,1,0,0
UK262,1,0,0
UK263,1,0,0
UK264,1,0,0
UK265,1,0,0
UK266,1,0,0
UK267,1,0,0
UK268,1,0,0
UK269,1,0,0
UK27,1,0,0
UK270,1,0,0
UK271,1,0,0
UK272,0,1,0
UK273,0,1,0
UK274,1,0,0
UK275,1,0,0
UK276,1,0,0
UK277,1,0,0
UK278,1,0,0
UK279,1,0,0
UK28,1,0,0
UK280,1,0,0
UK281,1,0,0
UK282,0,1,0
UK283,1,0,0
UK284,1,0,0
UK285,0,1,0
UK286,1,0,0
UK287,1,0,0
UK288,1,0,0
UK289,1,0,0
UK29,1,0,0
UK290,1,0,0
UK291,1,0,0
UK292,1,0,0
UK293,1,0,0
UK294,1,0,0
